epoch,train_E_loss,train_R_loss,train_DX_loss,train_DS_loss,train_DX_acc,train_DS_acc,train_cover_loss,train_secret_loss,train_edge,train_fft,train_residual,train_color_stat,train_mask_reg,train_texture_mask,train_adv_x,train_adv_s,train_mask_mean,train_hard_batch_ratio,train_alpha,train_lambda_old_xunet,train_lambda_new_srnet,val_cover_loss,val_secret_loss,val_psnr_cover_y,val_psnr_cover_rgb,val_ssim_cover_y,val_ncc_cover_y,val_psnr_secret_y,val_psnr_secret_rgb,val_ssim_secret_y,val_ncc_secret_y,val_ber_secret,val_old_xunet_cover_false_positive,val_old_xunet_stego_detection,val_old_xunet_stego_hidden,val_new_srnet_cover_false_positive,val_new_srnet_stego_detection,val_new_srnet_stego_hidden,val_avg_detection,val_avg_hidden,val_mask_mean,val_alpha,v93_score,lr_E,lr_R,lr_DX,lr_DS,time_sec
1,0.1031873801574111,0.018364275528118014,0.6699880740642548,0.23882737309858204,0.6188125,0.9173125,9.938534459251968e-06,0.018226264252327384,0.0005746538793027867,2.0802327271667308e-05,0.0037542427927255632,0.00022739316643856,0.00015175318717956544,0.3165648143589497,0.7239849054813385,2.0011218240112068,0.71978076171875,0.173125,0.059643033891916275,0.006,0.0024000000000000002,8.744996488530886e-06,0.0014773303512483835,67.31647485351563,51.37433935546875,0.9999447188377381,0.9999974660873413,31.08287158203125,28.834565139770508,0.9307126731872558,0.9908268723487854,0.03402455748617649,0.027,0.032,0.968,0.069,0.001,0.999,0.0165,0.9835,0.719640625,0.059643033891916275,197.3106240399927,3.99178284305241e-06,5.986304738420684e-06,1.9947958005998597e-05,1.4961653267577914e-05,163.28325843811035
2,0.11365058027207851,0.018454758941195904,0.6711095409393311,0.21415569972991944,0.61525,0.9273125,1.0117525139776262e-05,0.01832316336594522,0.0005752847146068234,2.0502615076111396e-05,0.003768267362145707,0.00023085835301026237,0.0001478736400604248,0.3164253391623497,0.7224449249505996,2.0847192375808956,0.71978173828125,0.1745,0.059679917991161346,0.012,0.0048000000000000004,9.465876653848682e-06,0.0014059461737051606,66.01281951904296,50.966331604003905,0.9999181575775147,0.9999965963363647,31.509042419433595,29.107656188964842,0.9322175722122192,0.9911980991363525,0.033047491520643235,0.892,0.912,0.088,0.133,0.0,1.0,0.456,0.544,0.71977734375,0.059679917991161346,18.09628640101549,3.967221401100709e-06,5.945369001834514e-06,1.9792402206971155e-05,1.484703320513664e-05,137.4146761894226
3,0.12346317747235298,0.018670720235444607,0.6774732440710067,0.2461040759384632,0.5864375,0.9105625,9.948106999672745e-06,0.01853576968796551,0.0005746035990014206,2.002253550381283e-05,0.0037441668407991527,0.00022914338040573055,0.00014807605743408204,0.3164764140844345,0.7157421763539314,2.0399296601116657,0.71978076171875,0.17425,0.059714265167713165,0.018,0.0072,9.459585024160333e-06,0.001401688665151596,66.30961291503907,50.96304583740234,0.999926764011383,0.9999968056678772,31.567289459228515,29.141636276245116,0.9337071876525879,0.9910817685127258,0.033407527536153794,0.424,0.433,0.567,0.097,0.017,0.983,0.225,0.775,0.7199140625,0.059714265167713165,76.8592121174872,3.926584774442731e-06,5.877641290737884e-06,1.9535036904803962e-05,1.4657395614066077e-05,137.85692071914673
4,0.1341187484636903,0.018765251639299093,0.681007325232029,0.21829459650442004,0.57425,0.926375,1.009109413553233e-05,0.01863330330234021,0.0005773266319010872,1.9776481560256798e-05,0.003776190070435405,0.00022268188907764852,0.00014837491512298585,0.316470902889967,0.7121423289775849,2.109490467786789,0.71978125,0.16625,0.059721507132053375,0.024,0.009600000000000001,9.084750668989727e-06,0.001609424702823162,66.43575720214844,51.15905615234375,0.9999246520996093,0.9999968676567078,30.60165603637695,28.395660354614257,0.9233401975631714,0.990880578994751,0.03363901868462563,0.18,0.196,0.804,0.1,0.019,0.981,0.1075,0.8925,0.71976171875,0.059721507132053375,13.176049392169688,3.870318186463902e-06,5.783863644106501e-06,1.917868184760471e-05,1.4394818203498206e-05,137.88563919067383
5,0.11159961113333702,0.019049817469902336,0.6760725884437561,0.22489959195628761,0.5931875,0.9221875,1.0074536289721436e-05,0.018912863799370825,0.0005786671947571449,2.0034304725413676e-05,0.0037668014247901737,0.00023045441617432517,0.00015063810348510742,0.31603739830851557,0.7173018817901611,2.0916639583557846,0.7197802734375,0.1745,0.059720348566770554,0.010499999999999999,0.0042,9.872363461909117e-06,0.0014022415066137909,66.51858715820312,50.79148864746094,0.9999325323104858,0.9999969758987427,31.483873077392577,29.080079391479494,0.9400362620353698,0.9914656238555908,0.0349390879124403,0.749,0.756,0.244,0.094,0.038,0.962,0.397,0.603,0.71990234375,0.059720348566770554,34.33769506092371,3.799038105676659e-06,5.665063509461097e-06,1.872724133595217e-05,1.4062177826491073e-05,137.94707584381104
6,0.1458907978758216,0.019083483430556953,0.6812322707772255,0.20807602724432944,0.5704375,0.9326875,9.982368918826977e-06,0.018954368469305337,0.0005845883520669303,2.038765356701333e-05,0.0037547437937464566,0.0002343568770738784,0.00014949691295623778,0.3166525545418262,0.712120580792427,2.199495444744825,0.71978076171875,0.1735,0.05974913388490677,0.03,0.012,9.127373992669163e-06,0.0016162740169093012,67.001673828125,51.13099133300781,0.9999334125518798,0.9999972758293152,30.585522216796875,28.385955474853514,0.9347467150688171,0.9909623646736145,0.036071742743253705,0.099,0.088,0.912,0.103,0.0,1.0,0.044,0.956,0.7196015625,0.05974913388490677,8.252908605939126,3.7135254915624226e-06,5.522542485937368e-06,1.8185661446562e-05,1.3663118960624633e-05,137.96580529212952
7,0.1121674287095666,0.019020110811106862,0.677404367685318,0.2160590405650437,0.5886875,0.926125,9.907963270507025e-06,0.01888618416711688,0.0005804619306873064,2.0125166844081832e-05,0.003741299522574991,0.000227325374740758,0.00014892899990081787,0.3163899593651295,0.7171805160045623,2.2138563320934774,0.71978076171875,0.1785,0.05973844975233078,0.010499999999999999,0.0042,9.242320968041895e-06,0.0014348217658698558,66.43854272460938,51.089460723876954,0.9999255132675171,0.9999968671798706,31.21014776611328,28.976520248413085,0.9304742240905761,0.9911704621315003,0.03330343729257584,0.932,0.939,0.061,0.163,0.001,0.999,0.47,0.53,0.71981640625,0.05973844975233078,13.88954199174644,3.614717238216093e-06,5.357862063693485e-06,1.7559875842035246e-05,1.320201377834176e-05,137.94436120986938
8,0.1459950225427747,0.01938880030065775,0.6798787305355072,0.20734372421726585,0.58075,0.9285,9.817406144975393e-06,0.019255074637010695,0.0005843609851435758,2.0539420413115295e-05,0.0037296613513026385,0.00023593200254254043,0.00015177774429321288,0.3163731360733509,0.7146996459364892,2.184566350787878,0.7197822265625,0.1755,0.059704847633838654,0.03,0.012,9.667246409662766e-06,0.0014560240041464568,66.17927301025391,50.866900665283204,0.99992697763443,0.999996780872345,31.414299545288085,28.92403746032715,0.9351584396362305,0.99104070520401,0.03492937818169594,0.781,0.772,0.228,0.163,0.024,0.976,0.398,0.602,0.71995703125,0.059704847633838654,33.07895611976983,3.503695909538289e-06,5.172826515897145e-06,1.6856740760409155e-05,1.2683914244512009e-05,137.93454098701477
9,0.14550738666206597,0.019464823200367392,0.6817940108776093,0.21707983577623963,0.571375,0.9300625,9.810486269543616e-06,0.019336335132829844,0.0005909835399361327,2.0717425762995845e-05,0.003732559434371069,0.00023422212299192325,0.0001517096757888794,0.31644433784484866,0.7109463206529617,2.1594504019171,0.71977978515625,0.169375,0.059666335582733154,0.03,0.012,9.223418692272389e-06,0.0015828406140208245,66.61318359375,51.07912518310547,0.9999370121955872,0.9999970660209656,30.750055541992186,28.47721923828125,0.932629011631012,0.9909941067695618,0.03616340243816376,0.268,0.256,0.744,0.099,0.011,0.989,0.1335,0.8665,0.72047265625,0.059666335582733154,-83.40494072902203,3.381677878438711e-06,4.969463130731182e-06,1.6083959896778496e-05,1.2114496766047314e-05,137.76595401763916
10,0.1122745812535286,0.01903234373871237,0.6769327289462089,0.20086701424233616,0.58925,0.933125,9.803569455471006e-06,0.018916752172634006,0.0005835589372727555,2.014139464517939e-05,0.003739252176368609,0.0002270754186756676,0.00014882326126098634,0.3162959609925747,0.7166646584272385,2.2464756814837457,0.71978173828125,0.17275,0.05969400703907013,0.010499999999999999,0.0042,9.455306397285312e-06,0.0014475748538970948,66.43447918701172,50.97183734130859,0.999928337097168,0.9999969253540039,31.18137109375,28.932747833251952,0.9366651678085327,0.9912721929550171,0.034297928765416145,0.588,0.621,0.379,0.107,0.007,0.993,0.314,0.686,0.71998828125,0.05969400703907013,52.887736409947266,3.250000000000002e-06,4.749999999999999e-06,1.5250000000000001e-05,1.1500000000000002e-05,137.59575200080872
11,0.1470962425544858,0.01914169938955456,0.6791863645911217,0.18732497989572586,0.5784375,0.9391875,9.613867836833379e-06,0.01902982779685408,0.0005865255411772523,2.0505655058514093e-05,0.0037023351453244688,0.0002370413733733585,0.00014884865283966065,0.31683485838770864,0.7150057766437531,2.285499694645405,0.7197802734375,0.174,0.059660740196704865,0.03,0.012,8.731982001336292e-06,0.0015139115694910287,66.74217694091797,51.345037139892575,0.9999285273551941,0.9999970874786377,31.118910217285155,28.728267501831056,0.9299310336112976,0.9908264980316163,0.03473067317903042,0.536,0.543,0.457,0.116,0.012,0.988,0.2775,0.7225,0.71975390625,0.059660740196704865,62.14387111767829,3.1101049646137024e-06,4.5168416076895004e-06,1.4363998109220106e-05,1.0847156501530605e-05,137.79770684242249
